"date","geography","geography code","Rural Urban","Household Composition: count of Household; All households; measures: Value","Household Composition: No adults in employment in household; measures: Value","Household Composition: No adults in employment in household: With dependent children; measures: Value","Household Composition: No adults in employment in household: No dependent children; measures: Value","Household Composition: Dependent children in household: All ages; measures: Value","Household Composition: Dependent children in household: Age 0 to 4; measures: Value","Household Composition: One person in household with a long-term health problem or disability; measures: Value","Household Composition: One person in household with a long-term health problem or disability: With dependent children; measures: Value","Household Composition: One person in household with a long-term health problem or disability: No dependent children; measures: Value"
"2011","Darlington","E06000005","Total",46670,16868,2110,14758,13448,5313,12545,2113,10432
"2011","Darlington","E06000005","Urban (total)",41123,15129,2020,13109,11853,4750,11259,1898,9361
"2011","Darlington","E06000005","Urban major conurbation",0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Urban minor conurbation",0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Urban city and town",41123,15129,2020,13109,11853,4750,11259,1898,9361
"2011","Darlington","E06000005","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural (total)",5547,1739,90,1649,1595,563,1286,215,1071
"2011","Darlington","E06000005","Rural town and fringe",3294,1032,55,977,1014,353,763,132,631
"2011","Darlington","E06000005","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural village",1532,510,18,492,387,152,355,50,305
"2011","Darlington","E06000005","Rural village in a sparse setting",0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings",721,197,17,180,194,58,168,33,135
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Total",223803,87173,10216,76957,61108,23213,69048,11056,57992
"2011","County Durham","E06000047","Urban (total)",120268,47080,5797,41283,33501,12870,36912,6167,30745
"2011","County Durham","E06000047","Urban major conurbation",17422,6279,568,5711,4899,1740,4931,810,4121
"2011","County Durham","E06000047","Urban minor conurbation",0,0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Urban city and town",102846,40801,5229,35572,28602,11130,31981,5357,26624
"2011","County Durham","E06000047","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Rural (total)",103535,40093,4419,35674,27607,10343,32136,4889,27247
