"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","Darlington","E06000005","Total",105564,51483,54081,104111,1453,1218,19747.51,5.3
"2011","Darlington","E06000005","Urban (total)",92363,45026,47337,91122,1241,1010,6113.26,15.1
"2011","Darlington","E06000005","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Darlington","E06000005","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Darlington","E06000005","Urban city and town",92363,45026,47337,91122,1241,1010,6113.26,15.1
"2011","Darlington","E06000005","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Darlington","E06000005","Rural (total)",13201,6457,6744,12989,212,208,13634.25,1.0
"2011","Darlington","E06000005","Rural town and fringe",7770,3805,3965,7747,23,116,1189.13,6.5
"2011","Darlington","E06000005","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Darlington","E06000005","Rural village",3742,1825,1917,3553,189,61,4285.97,0.9
"2011","Darlington","E06000005","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings",1689,827,862,1689,0,31,8159.15,0.2
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","County Durham","E06000047","Total",513242,251280,261962,500288,12954,4705,222606.26,2.3
"2011","County Durham","E06000047","Urban (total)",281825,137632,144193,271702,10123,2502,21058.65,13.4
"2011","County Durham","E06000047","Urban major conurbation",39407,19025,20382,39097,310,366,3110.94,12.7
"2011","County Durham","E06000047","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","County Durham","E06000047","Urban city and town",242418,118607,123811,232605,9813,2136,17947.71,13.5
"2011","County Durham","E06000047","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","County Durham","E06000047","Rural (total)",231417,113648,117769,228586,2831,2203,201547.61,1.1
"2011","County Durham","E06000047","Rural town and fringe",177952,86835,91117,176056,1896,1520,25681.39,6.9
"2011","County Durham","E06000047","Rural town and fringe in a sparse setting",244,121,123,243,1,3,28.00,8.7
"2011","County Durham","E06000047","Rural village",33544,16607,16937,33315,229,396,45113.76,0.7
"2011","County Durham","E06000047","Rural village in a sparse setting",2424,1195,1229,2419,5,35,8294.46,0.3
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings",15348,7934,7414,14654,694,207,79775.28,0.2
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings in a sparse setting",1905,956,949,1899,6,42,42654.72,0.0
"2011","Hartlepool","E06000001","Total",92028,44751,47277,91091,937,780,9386.11,9.8
"2011","Hartlepool","E06000001","Urban (total)",88855,43240,45615,87992,863,733,4161.35,21.4
"2011","Hartlepool","E06000001","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Hartlepool","E06000001","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Hartlepool","E06000001","Urban city and town",88855,43240,45615,87992,863,733,4161.35,21.4
"2011","Hartlepool","E06000001","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Hartlepool","E06000001","Rural (total)",3173,1511,1662,3099,74,47,5224.76,0.6
"2011","Hartlepool","E06000001","Rural town and fringe",742,339,403,742,0,7,46.71,15.9
"2011","Hartlepool","E06000001","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Hartlepool","E06000001","Rural village",1539,752,787,1539,0,27,2142.98,0.7
"2011","Hartlepool","E06000001","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Hartlepool","E06000001","Rural hamlet and isolated dwellings",892,420,472,818,74,13,3035.07,0.3
"2011","Hartlepool","E06000001","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Middlesbrough","E06000002","Total",138412,67732,70680,136156,2256,1040,5387.47,25.7
"2011","Middlesbrough","E06000002","Urban (total)",137455,67262,70193,135218,2237,1021,4747.09,29.0
"2011","Middlesbrough","E06000002","Urban major conurbation",0,0,0,0,0,0,0.00,
"2011","Middlesbrough","E06000002","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Middlesbrough","E06000002","Urban city and town",137455,67262,70193,135218,2237,1021,4747.09,29.0
"2011","Middlesbrough","E06000002","Urban city and town in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Middlesbrough","E06000002","Rural (total)",957,470,487,938,19,19,640.38,1.5
"2011","Middlesbrough","E06000002","Rural town and fringe",592,296,296,592,0,6,125.86,4.7
"2011","Middlesbrough","E06000002","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Middlesbrough","E06000002","Rural village",365,174,191,346,19,13,514.52,0.7
"2011","Middlesbrough","E06000002","Rural village in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Middlesbrough","E06000002","Rural hamlet and isolated dwellings",0,0,0,0,0,0,0.00,
"2011","Middlesbrough","E06000002","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0.00,
"2011","Northumberland","E06000048","Total",316028,154124,161904,310591,5437,3922,501301.83,0.6
"2011","Northumberland","E06000048","Urban (total)",170932,82653,88279,168670,2262,1770,14073.46,12.1
"2011","Northumberland","E06000048","Urban major conurbation",26699,12837,13862,26468,231,228,1101.62,24.2
"2011","Northumberland","E06000048","Urban minor conurbation",0,0,0,0,0,0,0.00,
"2011","Northumberland","E06000048","Urban city and town",130968,63494,67474,129264,1704,1408,10302.50,12.7
"2011","Northumberland","E06000048","Urban city and town in a sparse setting",13265,6322,6943,12938,327,134,2669.34,5.0
"2011","Northumberland","E06000048","Rural (total)",145096,71471,73625,141921,3175,2152,487228.37,0.3
"2011","Northumberland","E06000048","Rural town and fringe",53488,26444,27044,51966,1522,444,8401.94,6.4
"2011","Northumberland","E06000048","Rural town and fringe in a sparse setting",28831,13940,14891,28483,348,329,8668.67,3.3
"2011","Northumberland","E06000048","Rural village",12880,6348,6532,12566,314,225,15242.88,0.8
"2011","Northumberland","E06000048","Rural village in a sparse setting",16991,8294,8697,16869,122,303,52768.37,0.3
