geography,population
Darlington,105564
County Durham,513242
Hartlepool,92028
Middlesbrough,138412
Northumberland,316028
Redcar and Cleveland,135177
Stockton-on-Tees,191610
Gateshead,200214
Newcastle upon Tyne,280177
North Tyneside,200801
South Tyneside,148127
Sunderland,275506
Blackburn with Darwen,147489
Blackpool,142065
Cheshire East,370127
Cheshire West and Chester,329608
Halton,125746
Warrington,202228
Cumbria,499858
Bolton,276786
Bury,185060
Manchester,503127
Oldham,224897
Rochdale,211699
Salford,233933
Stockport,283275
Tameside,219324
Trafford,226578
Wigan,317849
Lancashire,1171339
Knowsley,145893
Liverpool,466415
Sefton,273790
St. Helens,175308
Wirral,319783
East Riding of Yorkshire,334179
"Kingston upon Hull, City of",256406
North East Lincolnshire,159616
North Lincolnshire,167446
York,198051
North Yorkshire,598376
Barnsley,231221
Doncaster,302402
Rotherham,257280
Sheffield,552698
Bradford,522452
Calderdale,203826
Kirklees,422458
Leeds,751485
Wakefield,325837
Derby,248752
Leicester,329839
Nottingham,305680
Rutland,37369
Derbyshire,769686
Leicestershire,650489
Lincolnshire,713653
Northamptonshire,691952
Nottinghamshire,785802
"Herefordshire, County of",183477
Shropshire,306129
Stoke-on-Trent,249008
Telford and Wrekin,166641
Staffordshire,848489
Warwickshire,545474
Birmingham,1073045
Coventry,316960
Dudley,312925
Sandwell,308063
Solihull,206674
Walsall,269323
Wolverhampton,249470
Worcestershire,566169
Bedford,157479
Central Bedfordshire,254381
Luton,203201
Peterborough,183631
Southend-on-Sea,173658
Thurrock,157705
Cambridgeshire,621210
Essex,1393587
Hertfordshire,1116062
Norfolk,857888
Suffolk,728163
Camden,220338
City of London,7375
Hackney,246270
Hammersmith and Fulham,182493
Haringey,254926
Islington,206125
Kensington and Chelsea,158649
Lambeth,303086
Lewisham,275885
Newham,307984
Southwark,288283
Tower Hamlets,254096
Wandsworth,306995
Westminster,219396
Barking and Dagenham,185911
Barnet,356386
Bexley,231997
Brent,311215
Bromley,309392
Croydon,363378
Ealing,338449
Enfield,312466
Greenwich,254557
Harrow,239056
Havering,237232
Hillingdon,273936
Hounslow,253957
Kingston upon Thames,160060
Merton,199693
Redbridge,278970
Richmond upon Thames,186990
Sutton,190146
Waltham Forest,258249
Bracknell Forest,113205
Brighton and Hove,273369
Isle of Wight,138265
Medway,263925
Milton Keynes,248821
Portsmouth,205056
Reading,155698
Slough,140205
Southampton,236882
West Berkshire,153822
Windsor and Maidenhead,144560
Wokingham,154380
Buckinghamshire,505283
East Sussex,526671
Hampshire,1317788
Kent,1463740
Oxfordshire,653798
Surrey,1132390
West Sussex,806892
Bath and North East Somerset,176016
Bournemouth,183491
"Bristol, City of",428234
Cornwall,532273
Isles of Scilly,2203
North Somerset,202566
Plymouth,256384
Poole,147645
South Gloucestershire,262767
Swindon,209156
Torbay,130959
Wiltshire,470981
Devon,746399
Dorset,412905
Gloucestershire,596984
Somerset,529972
Anglesey,69751
Gwynedd,121874
Conwy,115228
Denbighshire,93734
Flintshire,152506
Wrexham,134844
Powys,132976
Ceredigion,75922
Pembrokeshire,122439
Carmarthenshire,183777
Swansea,239023
Neath Port Talbot,139812
Bridgend,139178
The Vale of Glamorgan,126336
Cardiff,346090
"Rhondda, Cynon, Taff",234410
Merthyr Tydfil,58802
Caerphilly,178806
Blaenau Gwent,69814
Torfaen,91075
Monmouthshire,91323
Newport,145736
