parameter,geography,period,forecast
yearLastWorkedByAge,Darlington,2014 Q4,26699
yearLastWorkedByAge,Darlington,2014 Q4,27110
yearLastWorkedNotInEmployment,Darlington,2014 Q4,44325
yearLastWorkedNeverWorked,Darlington,2014 Q4,51454
highestLevelOfQualification,Darlington,2014 Q4,43357
adultsNotInEmployment,Darlington,2014 Q4,22107
establishmentsWithPersonsSleepingRough,Darlington,2014 Q4,43965
yearLastWorkedByAge,Darlington,2015 Q1,30694
yearLastWorkedByAge,Darlington,2015 Q1,30279
yearLastWorkedNotInEmployment,Darlington,2015 Q1,46482
yearLastWorkedNeverWorked,Darlington,2015 Q1,43798
highestLevelOfQualification,Darlington,2015 Q1,49246
adultsNotInEmployment,Darlington,2015 Q1,28375
establishmentsWithPersonsSleepingRough,Darlington,2015 Q1,36478
yearLastWorkedByAge,Darlington,2015 Q2,53957
yearLastWorkedByAge,Darlington,2015 Q2,20912
yearLastWorkedNotInEmployment,Darlington,2015 Q2,46926
yearLastWorkedNeverWorked,Darlington,2015 Q2,52086
highestLevelOfQualification,Darlington,2015 Q2,32464
adultsNotInEmployment,Darlington,2015 Q2,42887
establishmentsWithPersonsSleepingRough,Darlington,2015 Q2,24703
yearLastWorkedByAge,County Durham,2014 Q4,51032
yearLastWorkedByAge,County Durham,2014 Q4,38029
yearLastWorkedNotInEmployment,County Durham,2014 Q4,24153
yearLastWorkedNeverWorked,County Durham,2014 Q4,58192
highestLevelOfQualification,County Durham,2014 Q4,25581
adultsNotInEmployment,County Durham,2014 Q4,21036
establishmentsWithPersonsSleepingRough,County Durham,2014 Q4,35913
yearLastWorkedByAge,County Durham,2015 Q1,57552
yearLastWorkedByAge,County Durham,2015 Q1,52522
yearLastWorkedNotInEmployment,County Durham,2015 Q1,48266
yearLastWorkedNeverWorked,County Durham,2015 Q1,34127
highestLevelOfQualification,County Durham,2015 Q1,38452
adultsNotInEmployment,County Durham,2015 Q1,40050
establishmentsWithPersonsSleepingRough,County Durham,2015 Q1,29979
yearLastWorkedByAge,County Durham,2015 Q2,30952
yearLastWorkedByAge,County Durham,2015 Q2,20015
yearLastWorkedNotInEmployment,County Durham,2015 Q2,32101
yearLastWorkedNeverWorked,County Durham,2015 Q2,20342
highestLevelOfQualification,County Durham,2015 Q2,24582
adultsNotInEmployment,County Durham,2015 Q2,36458
establishmentsWithPersonsSleepingRough,County Durham,2015 Q2,26664
yearLastWorkedByAge,Hartlepool,2014 Q4,51627
yearLastWorkedByAge,Hartlepool,2014 Q4,31028
yearLastWorkedNotInEmployment,Hartlepool,2014 Q4,39762
yearLastWorkedNeverWorked,Hartlepool,2014 Q4,30643
highestLevelOfQualification,Hartlepool,2014 Q4,55965
adultsNotInEmployment,Hartlepool,2014 Q4,49915
establishmentsWithPersonsSleepingRough,Hartlepool,2014 Q4,32942
yearLastWorkedByAge,Hartlepool,2015 Q1,55027
yearLastWorkedByAge,Hartlepool,2015 Q1,24361
yearLastWorkedNotInEmployment,Hartlepool,2015 Q1,32849
yearLastWorkedNeverWorked,Hartlepool,2015 Q1,47303
highestLevelOfQualification,Hartlepool,2015 Q1,56879
adultsNotInEmployment,Hartlepool,2015 Q1,38795
establishmentsWithPersonsSleepingRough,Hartlepool,2015 Q1,30664
yearLastWorkedByAge,Hartlepool,2015 Q2,43517
yearLastWorkedByAge,Hartlepool,2015 Q2,57089
yearLastWorkedNotInEmployment,Hartlepool,2015 Q2,21378
yearLastWorkedNeverWorked,Hartlepool,2015 Q2,54248
highestLevelOfQualification,Hartlepool,2015 Q2,45027
adultsNotInEmployment,Hartlepool,2015 Q2,35160
establishmentsWithPersonsSleepingRough,Hartlepool,2015 Q2,42139
yearLastWorkedByAge,Middlesbrough,2014 Q4,57462
yearLastWorkedByAge,Middlesbrough,2014 Q4,37659
yearLastWorkedNotInEmployment,Middlesbrough,2014 Q4,58032
yearLastWorkedNeverWorked,Middlesbrough,2014 Q4,53551
highestLevelOfQualification,Middlesbrough,2014 Q4,33422
adultsNotInEmployment,Middlesbrough,2014 Q4,50462
establishmentsWithPersonsSleepingRough,Middlesbrough,2014 Q4,36449
yearLastWorkedByAge,Middlesbrough,2015 Q1,52528
yearLastWorkedByAge,Middlesbrough,2015 Q1,39015
yearLastWorkedNotInEmployment,Middlesbrough,2015 Q1,40674
yearLastWorkedNeverWorked,Middlesbrough,2015 Q1,37891
highestLevelOfQualification,Middlesbrough,2015 Q1,49051
adultsNotInEmployment,Middlesbrough,2015 Q1,27884
establishmentsWithPersonsSleepingRough,Middlesbrough,2015 Q1,46550
yearLastWorkedByAge,Middlesbrough,2015 Q2,32702
yearLastWorkedByAge,Middlesbrough,2015 Q2,28304
yearLastWorkedNotInEmployment,Middlesbrough,2015 Q2,30040
yearLastWorkedNeverWorked,Middlesbrough,2015 Q2,52121
highestLevelOfQualification,Middlesbrough,2015 Q2,46521
adultsNotInEmployment,Middlesbrough,2015 Q2,46911
establishmentsWithPersonsSleepingRough,Middlesbrough,2015 Q2,37511
