"date","geography","geography code","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"2011","Darlington","E06000005","Total",85357,21179,11445,13568,4350,10883,20244,3688
"2011","Darlington","E06000005","Urban (total)",74508,19361,10224,11897,3799,9513,16399,3315
"2011","Darlington","E06000005","Urban major conurbation",0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Urban minor conurbation",0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Urban city and town",74508,19361,10224,11897,3799,9513,16399,3315
"2011","Darlington","E06000005","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural (total)",10849,1818,1221,1671,551,1370,3845,373
"2011","Darlington","E06000005","Rural town and fringe",6279,992,704,989,328,831,2211,224
"2011","Darlington","E06000005","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural village",3145,585,351,449,141,381,1138,100
"2011","Darlington","E06000005","Rural village in a sparse setting",0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings",1425,241,166,233,82,158,496,49
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Total",425258,116948,57032,67905,17694,57957,91249,16473
"2011","County Durham","E06000047","Urban (total)",233545,62605,31039,37159,9406,35207,49237,8892
"2011","County Durham","E06000047","Urban major conurbation",32573,7621,4826,5512,1588,4138,7744,1144
"2011","County Durham","E06000047","Urban minor conurbation",0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Urban city and town",200972,54984,26213,31647,7818,31069,41493,7748
"2011","County Durham","E06000047","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Rural (total)",191713,54343,25993,30746,8288,22750,42012,7581
"2011","County Durham","E06000047","Rural town and fringe",146894,43746,20174,23806,6346,17641,29334,5847
"2011","County Durham","E06000047","Rural town and fringe in a sparse setting",213,57,24,20,10,23,67,12
"2011","County Durham","E06000047","Rural village",27862,6709,3533,4222,1200,3174,8022,1002
"2011","County Durham","E06000047","Rural village in a sparse setting",2103,507,269,345,92,238,566,86
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings",13005,2969,1759,2060,576,1497,3565,579
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings in a sparse setting",1636,355,234,293,64,177,458,55
"2011","Hartlepool","E06000001","Total",74228,22758,10057,11992,4076,9276,13063,3006
"2011","Hartlepool","E06000001","Urban (total)",71555,22055,9759,11637,3920,8977,12300,2907
"2011","Hartlepool","E06000001","Urban major conurbation",0,0,0,0,0,0,0,0
"2011","Hartlepool","E06000001","Urban minor conurbation",0,0,0,0,0,0,0,0
"2011","Hartlepool","E06000001","Urban city and town",71555,22055,9759,11637,3920,8977,12300,2907
"2011","Hartlepool","E06000001","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0
