"date","geography","geography code","Rural Urban","Residence Type: All categories: Residence type; measures: Value","Residence Type: Lives in a household; measures: Value","Residence Type: Lives in a communal establishment; measures: Value","Residence Type: Communal establishments with persons sleeping rough identified; measures: Value"
"2011","Darlington","E06000005","Total",105564,104111,1453,0
"2011","Darlington","E06000005","Urban (total)",92363,91122,1241,0
"2011","Darlington","E06000005","Urban major conurbation",0,0,0,0
"2011","Darlington","E06000005","Urban minor conurbation",0,0,0,0
"2011","Darlington","E06000005","Urban city and town",92363,91122,1241,0
"2011","Darlington","E06000005","Urban city and town in a sparse setting",0,0,0,0
"2011","Darlington","E06000005","Rural (total)",13201,12989,212,0
"2011","Darlington","E06000005","Rural town and fringe",7770,7747,23,0
"2011","Darlington","E06000005","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Darlington","E06000005","Rural village",3742,3553,189,0
"2011","Darlington","E06000005","Rural village in a sparse setting",0,0,0,0
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings",1689,1689,0,0
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","County Durham","E06000047","Total",513242,500288,12954,8
"2011","County Durham","E06000047","Urban (total)",281825,271702,10123,3
"2011","County Durham","E06000047","Urban major conurbation",39407,39097,310,0
"2011","County Durham","E06000047","Urban minor conurbation",0,0,0,0
"2011","County Durham","E06000047","Urban city and town",242418,232605,9813,3
"2011","County Durham","E06000047","Urban city and town in a sparse setting",0,0,0,0
"2011","County Durham","E06000047","Rural (total)",231417,228586,2831,5
"2011","County Durham","E06000047","Rural town and fringe",177952,176056,1896,1
"2011","County Durham","E06000047","Rural town and fringe in a sparse setting",244,243,1,0
"2011","County Durham","E06000047","Rural village",33544,33315,229,2
"2011","County Durham","E06000047","Rural village in a sparse setting",2424,2419,5,0
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings",15348,14654,694,1
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings in a sparse setting",1905,1899,6,1
"2011","Hartlepool","E06000001","Total",92028,91091,937,0
"2011","Hartlepool","E06000001","Urban (total)",88855,87992,863,0
"2011","Hartlepool","E06000001","Urban major conurbation",0,0,0,0
"2011","Hartlepool","E06000001","Urban minor conurbation",0,0,0,0
"2011","Hartlepool","E06000001","Urban city and town",88855,87992,863,0
"2011","Hartlepool","E06000001","Urban city and town in a sparse setting",0,0,0,0
"2011","Hartlepool","E06000001","Rural (total)",3173,3099,74,0
"2011","Hartlepool","E06000001","Rural town and fringe",742,742,0,0
"2011","Hartlepool","E06000001","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Hartlepool","E06000001","Rural village",1539,1539,0,0
"2011","Hartlepool","E06000001","Rural village in a sparse setting",0,0,0,0
"2011","Hartlepool","E06000001","Rural hamlet and isolated dwellings",892,818,74,0
"2011","Hartlepool","E06000001","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Middlesbrough","E06000002","Total",138412,136156,2256,0
"2011","Middlesbrough","E06000002","Urban (total)",137455,135218,2237,0
"2011","Middlesbrough","E06000002","Urban major conurbation",0,0,0,0
"2011","Middlesbrough","E06000002","Urban minor conurbation",0,0,0,0
"2011","Middlesbrough","E06000002","Urban city and town",137455,135218,2237,0
"2011","Middlesbrough","E06000002","Urban city and town in a sparse setting",0,0,0,0
"2011","Middlesbrough","E06000002","Rural (total)",957,938,19,0
"2011","Middlesbrough","E06000002","Rural town and fringe",592,592,0,0
"2011","Middlesbrough","E06000002","Rural town and fringe in a sparse setting",0,0,0,0
"2011","Middlesbrough","E06000002","Rural village",365,346,19,0
"2011","Middlesbrough","E06000002","Rural village in a sparse setting",0,0,0,0
"2011","Middlesbrough","E06000002","Rural hamlet and isolated dwellings",0,0,0,0
"2011","Middlesbrough","E06000002","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0
"2011","Northumberland","E06000048","Total",316028,310591,5437,1
"2011","Northumberland","E06000048","Urban (total)",170932,168670,2262,0
"2011","Northumberland","E06000048","Urban major conurbation",26699,26468,231,0
"2011","Northumberland","E06000048","Urban minor conurbation",0,0,0,0
"2011","Northumberland","E06000048","Urban city and town",130968,129264,1704,0
"2011","Northumberland","E06000048","Urban city and town in a sparse setting",13265,12938,327,0
"2011","Northumberland","E06000048","Rural (total)",145096,141921,3175,1
"2011","Northumberland","E06000048","Rural town and fringe",53488,51966,1522,0
"2011","Northumberland","E06000048","Rural town and fringe in a sparse setting",28831,28483,348,0
"2011","Northumberland","E06000048","Rural village",12880,12566,314,0
"2011","Northumberland","E06000048","Rural village in a sparse setting",16991,16869,122,1
"2011","Northumberland","E06000048","Rural hamlet and isolated dwellings",15983,15529,454,0
"2011","Northumberland","E06000048","Rural hamlet and isolated dwellings in a sparse setting",16923,16508,415,0
"2011","Redcar and Cleveland","E06000003","Total",135177,133929,1248,0
"2011","Redcar and Cleveland","E06000003","Urban (total)",91297,90532,765,0
"2011","Redcar and Cleveland","E06000003","Urban major conurbation",0,0,0,0
"2011","Redcar and Cleveland","E06000003","Urban minor conurbation",0,0,0,0
