"date","geography","geography code","Year Last Worked: All categories: Year last worked; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: All categories: Year last worked; Age: Age 16 to 24; measures: Value","Year Last Worked: All categories: Year last worked; Age: Age 25 to 34; measures: Value","Year Last Worked: All categories: Year last worked; Age: Age 35 to 49; measures: Value","Year Last Worked: All categories: Year last worked; Age: Age 50 to 64; measures: Value","Year Last Worked: All categories: Year last worked; Age: Age 65 and over; measures: Value","Year Last Worked: In employment; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: In employment; Age: Age 16 to 24; measures: Value","Year Last Worked: In employment; Age: Age 25 to 34; measures: Value","Year Last Worked: In employment; Age: Age 35 to 49; measures: Value","Year Last Worked: In employment; Age: Age 50 to 64; measures: Value","Year Last Worked: In employment; Age: Age 65 and over; measures: Value","Year Last Worked: Not in employment: Total; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Not in employment: Total; Age: Age 16 to 24; measures: Value","Year Last Worked: Not in employment: Total; Age: Age 25 to 34; measures: Value","Year Last Worked: Not in employment: Total; Age: Age 35 to 49; measures: Value","Year Last Worked: Not in employment: Total; Age: Age 50 to 64; measures: Value","Year Last Worked: Not in employment: Total; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked in 2011; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked in 2011; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked in 2011; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked in 2011; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked in 2011; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked in 2011; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked in 2010; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked in 2010; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked in 2010; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked in 2010; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked in 2010; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked in 2010; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked in 2009; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked in 2009; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked in 2009; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked in 2009; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked in 2009; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked in 2009; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked in 2008; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked in 2008; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked in 2008; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked in 2008; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked in 2008; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked in 2008; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked in 2007; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked in 2007; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked in 2007; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked in 2007; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked in 2007; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked in 2007; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked in 2006; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked in 2006; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked in 2006; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked in 2006; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked in 2006; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked in 2006; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked in 2001 - 2005; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked in 2001 - 2005; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked in 2001 - 2005; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked in 2001 - 2005; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked in 2001 - 2005; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked in 2001 - 2005; Age: Age 65 and over; measures: Value","Year Last Worked: Last worked before 2001; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Last worked before 2001; Age: Age 16 to 24; measures: Value","Year Last Worked: Last worked before 2001; Age: Age 25 to 34; measures: Value","Year Last Worked: Last worked before 2001; Age: Age 35 to 49; measures: Value","Year Last Worked: Last worked before 2001; Age: Age 50 to 64; measures: Value","Year Last Worked: Last worked before 2001; Age: Age 65 and over; measures: Value","Year Last Worked: Never worked; Age: All categories: Age 16 and over; measures: Value","Year Last Worked: Never worked; Age: Age 16 to 24; measures: Value","Year Last Worked: Never worked; Age: Age 25 to 34; measures: Value","Year Last Worked: Never worked; Age: Age 35 to 49; measures: Value","Year Last Worked: Never worked; Age: Age 50 to 64; measures: Value","Year Last Worked: Never worked; Age: Age 65 and over; measures: Value"
"2011","Darlington","E06000005",85357,11149,13036,22482,20251,18439,49215,6241,10263,18390,13015,1306,36142,4908,2773,4092,7236,17133,826,241,135,160,224,66,3192,759,593,608,891,341,2187,293,311,373,744,466,1550,157,233,273,536,351,1251,104,161,203,447,336,1146,44,140,163,385,414,4733,79,434,668,1250,2302,15126,20,157,959,2305,11685,6131,3211,609,685,454,1172
"2011","County Durham","E06000047",425258,62540,58761,107554,104058,92345,228857,28469,45671,86829,62009,5879,196401,34071,13090,20725,42049,86466,4505,1965,693,778,804,265,18313,7263,2523,2632,4317,1578,11252,2080,1588,1803,3973,1808,8861,1182,1148,1376,3334,1821,6281,522,737,991,2451,1580,5575,301,584,800,2122,1768,22935,359,1860,3125,6755,10836,83831,115,956,5832,16139,60789,34848,20284,3001,3388,2154,6021
"2011","Hartlepool","E06000001",74228,10976,10655,19103,17896,15598,37894,5041,7488,14441,10105,819,36334,5935,3167,4662,7791,14779,772,263,139,173,153,44,3203,922,623,636,761,261,2136,336,404,417,734,245,1353,169,198,248,501,237,1113,105,145,218,401,244,1131,66,152,209,413,291,4167,78,482,649,1185,1773,15111,21,200,1280,3051,10559,7348,3975,824,832,592,1125
"2011","Middlesbrough","E06000002",110409,19943,18060,27018,24697,20691,54709,8353,11886,19447,13834,1189,55700,11590,6174,7571,10863,19502,1345,515,258,274,238,60,5921,2240,1064,895,1335,387,3125,698,617,575,868,367,2304,410,427,406,689,372,1574,199,295,315,487,278,1363,102,240,236,450,335,5571,153,716,947,1575,2180,20015,47,373,1739,4054,13802,14482,7226,2184,2184,1167,1721
"2011","Northumberland","E06000048",262162,30847,32308,64877,70826,63304,147827,17203,25474,54242,45544,5364,114335,13644,6834,10635,25282,57940,2262,650,361,442,596,213,9951,2307,1448,1660,3234,1302,6764,715,850,993,2748,1458,5138,369,553,735,2165,1316,3891,221,335,534,1671,1130,3867,112,314,456,1548,1437,15464,169,1100,1678,4272,8245,50419,56,440,2551,8015,39357,16579,9045,1433,1586,1033,3482
"2011","Redcar and Cleveland","E06000003",111011,15215,14615,27531,27398,26252,56593,7486,10862,21551,15147,1547,54418,7729,3753,5980,12251,24705,1095,315,185,263,255,77,4829,1083,728,828,1726,464,3178,464,467,550,1214,483,2063,243,289,359,744,428,1582,127,194,246,640,375,1558,85,182,233,574,484,6537,112,577,860,1997,2991,23860,28,257,1553,4390,17632,9716,5272,874,1088,711,1771
"2011","Stockton-on-Tees","E06000004",154503,23115,24047,40734,36656,29951,87397,11493,18357,32649,22921,1977,67106,11622,5690,8085,13735,27974,1667,557,313,351,328,118,6407,1944,1103,1120,1676,564,4203,712,669,769,1440,613,2964,389,464,543,1029,539,2188,208,312,375,797,496,2047,110,271,386,697,583,7764,128,857,1196,2159,3424,26763,44,335,1871,4709,19804,13103,7530,1366,1474,900,1833
"2011","Gateshead","E08000020",164716,21835,27169,42409,38058,35245,92238,11515,21301,34074,23355,1993,72478,10320,5868,8335,14703,33252,1644,534,345,322,342,101,6110,1623,1174,1125,1590,598,3855,514,611,692,1369,669,2969,289,455,514,1069,642,2181,138,295,396,792,560,2238,119,339,324,810,646,8748,150,841,1098,2230,4429,31805,46,415,2194,5562,23588,12928,6907,1393,1670,939,2019
"2011","Newcastle upon Tyne","E08000021",232203,55479,41001,51875,45129,38719,119840,21305,29553,39146,27302,2534,112363,34174,11448,12729,17827,36185,4199,2613,586,466,384,150,16982,10601,2288,1476,1938,679,6864,2271,1198,979,1675,741,4660,1156,750,779,1272,703,3048,447,518,482,952,649,2620,231,358,489,831,711,9967,263,1168,1631,2509,4396,35278,48,539,2861,6485,25345,28745,16544,4043,3566,1781,2811
"2011","North Tyneside","E08000022",165088,19960,25737,44084,40012,35295,96409,11296,20881,36732,25332,2168,68679,8664,4856,7352,14680,33127,1700,445,324,399,385,147,6050,1432,1092,1137,1752,637,4200,434,597,765,1650,754,3141,264,382,473,1325,697,2371,150,283,331,959,648,2246,87,221,320,847,771,8186,126,654,1108,2215,4083,30348,37,302,1685,4809,23515,10437,5689,1001,1134,738,1875
"2011","South Tyneside","E08000023",122200,16979,17244,30813,30311,26853,64867,8741,12932,23768,18024,1402,57333,8238,4312,7045,12287,25451,1310,411,259,284,284,72,4861,1353,801,948,1350,409,3238,425,509,670,1147,487,2355,256,318,424,909,448,1732,133,212,293,663,431,1704,81,203,273,597,550,6765,112,636,1026,1836,3155,24683,32,266,1795,4668,17922,10685,5435,1108,1332,833,1977
"2011","Sunderland","E08000024",227314,34170,32822,57921,55608,46793,121920,16662,24696,45215,32903,2444,105394,17508,8126,12706,22705,44349,2361,859,480,436,454,132,9465,3103,1620,1627,2345,770,5847,1036,826,1058,2058,869,4154,509,584,701,1557,803,3244,266,393,545,1286,754,2895,170,357,510,1084,774,11598,193,1200,1738,3329,5138,45176,60,540,3459,9093,32024,20654,11312,2126,2632,1499,3085
