"date","geography","geography code","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"2011","Darlington","E06000005","Total",76635,49014,27621,820,3155,2149,1511,1222,1105,4478,7880,5301
"2011","Darlington","E06000005","Urban (total)",66899,42401,24498,731,2815,1879,1312,1095,967,3868,6987,4844
"2011","Darlington","E06000005","Urban major conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Urban minor conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Urban city and town",66899,42401,24498,731,2815,1879,1312,1095,967,3868,6987,4844
"2011","Darlington","E06000005","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural (total)",9736,6613,3123,89,340,270,199,127,138,610,893,457
"2011","Darlington","E06000005","Rural town and fringe",5696,3942,1754,51,201,166,108,73,79,338,500,238
"2011","Darlington","E06000005","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural village",2744,1768,976,29,97,74,65,42,43,201,283,142
"2011","Darlington","E06000005","Rural village in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings",1296,903,393,9,42,30,26,12,16,71,110,77
"2011","Darlington","E06000005","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Total",383796,227894,155902,4472,18170,11120,8728,6168,5423,21791,49547,30483
"2011","County Durham","E06000047","Urban (total)",211110,123089,88021,2907,11650,6339,4849,3365,2874,11310,26539,18188
"2011","County Durham","E06000047","Urban major conurbation",29289,18868,10421,268,1050,750,579,484,420,1686,3454,1730
"2011","County Durham","E06000047","Urban minor conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Urban city and town",181821,104221,77600,2639,10600,5589,4270,2881,2454,9624,23085,16458
"2011","County Durham","E06000047","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","County Durham","E06000047","Rural (total)",172686,104805,67881,1565,6520,4781,3879,2803,2549,10481,23008,12295
"2011","County Durham","E06000047","Rural town and fringe",131995,78873,53122,1213,4965,3682,2992,2166,1983,8054,18224,9843
"2011","County Durham","E06000047","Rural town and fringe in a sparse setting",180,99,81,1,9,10,2,5,4,22,22,6
"2011","County Durham","E06000047","Rural village",25282,16041,9241,205,897,648,598,387,352,1556,3116,1482
"2011","County Durham","E06000047","Rural village in a sparse setting",1836,1187,649,12,79,50,41,30,30,128,204,75
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings",11882,7569,4313,120,500,351,228,193,160,633,1296,832
"2011","County Durham","E06000047","Rural hamlet and isolated dwellings in a sparse setting",1511,1036,475,14,70,40,18,22,20,88,146,57
"2011","Hartlepool","E06000001","Total",66804,37767,29037,768,3184,2124,1330,1088,1101,3942,8917,6583
"2011","Hartlepool","E06000001","Urban (total)",64548,36383,28165,746,3089,2061,1290,1043,1072,3803,8606,6455
"2011","Hartlepool","E06000001","Urban major conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Hartlepool","E06000001","Urban minor conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Hartlepool","E06000001","Urban city and town",64548,36383,28165,746,3089,2061,1290,1043,1072,3803,8606,6455
"2011","Hartlepool","E06000001","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Hartlepool","E06000001","Rural (total)",2256,1384,872,22,95,63,40,45,29,139,311,128
"2011","Hartlepool","E06000001","Rural town and fringe",498,258,240,4,27,15,10,12,9,38,91,34
"2011","Hartlepool","E06000001","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Hartlepool","E06000001","Rural village",1175,751,424,11,45,34,19,17,12,75,147,64
"2011","Hartlepool","E06000001","Rural village in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Hartlepool","E06000001","Rural hamlet and isolated dwellings",583,375,208,7,23,14,11,16,8,26,73,30
"2011","Hartlepool","E06000001","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Middlesbrough","E06000002","Total",100551,54547,46004,1343,5880,3100,2272,1546,1332,5310,11883,13338
"2011","Middlesbrough","E06000002","Urban (total)",99835,54043,45792,1338,5848,3094,2257,1536,1325,5283,11830,13281
"2011","Middlesbrough","E06000002","Urban major conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Middlesbrough","E06000002","Urban minor conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Middlesbrough","E06000002","Urban city and town",99835,54043,45792,1338,5848,3094,2257,1536,1325,5283,11830,13281
"2011","Middlesbrough","E06000002","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Middlesbrough","E06000002","Rural (total)",716,504,212,5,32,6,15,10,7,27,53,57
"2011","Middlesbrough","E06000002","Rural town and fringe",454,323,131,3,22,5,11,4,3,12,37,34
"2011","Middlesbrough","E06000002","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Middlesbrough","E06000002","Rural village",262,181,81,2,10,1,4,6,4,15,16,23
"2011","Middlesbrough","E06000002","Rural village in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Middlesbrough","E06000002","Rural hamlet and isolated dwellings",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Middlesbrough","E06000002","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Northumberland","E06000048","Total",233224,146901,86323,2233,9807,6603,5029,3785,3740,14437,26746,13943
"2011","Northumberland","E06000048","Urban (total)",125249,78034,47215,1269,5235,3654,2759,2039,1942,7452,14451,8414
"2011","Northumberland","E06000048","Urban major conurbation",20325,13314,7011,193,837,560,425,398,314,1129,2089,1066
"2011","Northumberland","E06000048","Urban minor conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Northumberland","E06000048","Urban city and town",95373,58547,36826,990,3967,2794,2117,1490,1461,5729,11345,6933
"2011","Northumberland","E06000048","Urban city and town in a sparse setting",9551,6173,3378,86,431,300,217,151,167,594,1017,415
"2011","Northumberland","E06000048","Rural (total)",107975,68867,39108,964,4572,2949,2270,1746,1798,6985,12295,5529
"2011","Northumberland","E06000048","Rural town and fringe",39710,24199,15511,368,1641,1143,904,668,679,2547,5091,2470
"2011","Northumberland","E06000048","Rural town and fringe in a sparse setting",20851,13160,7691,183,1011,607,411,343,363,1459,2320,994
"2011","Northumberland","E06000048","Rural village",9609,6124,3485,97,380,269,221,164,142,634,1084,494
"2011","Northumberland","E06000048","Rural village in a sparse setting",12531,7906,4625,99,515,340,268,217,230,970,1471,515
"2011","Northumberland","E06000048","Rural hamlet and isolated dwellings",11978,8328,3650,123,464,290,217,171,174,610,1036,565
"2011","Northumberland","E06000048","Rural hamlet and isolated dwellings in a sparse setting",13296,9150,4146,94,561,300,249,183,210,765,1293,491
"2011","Redcar and Cleveland","E06000003","Total",99177,56354,42823,1087,4786,3135,2029,1553,1517,6229,13981,8506
"2011","Redcar and Cleveland","E06000003","Urban (total)",66716,38133,28583,792,3301,2067,1341,974,960,3984,9206,5958
"2011","Redcar and Cleveland","E06000003","Urban major conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Redcar and Cleveland","E06000003","Urban minor conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Redcar and Cleveland","E06000003","Urban city and town",66716,38133,28583,792,3301,2067,1341,974,960,3984,9206,5958
"2011","Redcar and Cleveland","E06000003","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Redcar and Cleveland","E06000003","Rural (total)",32461,18221,14240,295,1485,1068,688,579,557,2245,4775,2548
"2011","Redcar and Cleveland","E06000003","Rural town and fringe",28621,16067,12554,263,1341,944,605,510,475,1982,4197,2237
"2011","Redcar and Cleveland","E06000003","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Redcar and Cleveland","E06000003","Rural village",2318,1217,1101,23,80,74,55,40,50,159,388,232
"2011","Redcar and Cleveland","E06000003","Rural village in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Redcar and Cleveland","E06000003","Rural hamlet and isolated dwellings",1522,937,585,9,64,50,28,29,32,104,190,79
"2011","Redcar and Cleveland","E06000003","Rural hamlet and isolated dwellings in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Stockton-on-Tees","E06000004","Total",140654,87122,53532,1660,6349,4160,2918,2161,1999,7360,15079,11846
"2011","Stockton-on-Tees","E06000004","Urban (total)",134937,83273,51664,1614,6137,4001,2830,2078,1915,7043,14475,11571
"2011","Stockton-on-Tees","E06000004","Urban major conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Stockton-on-Tees","E06000004","Urban minor conurbation",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Stockton-on-Tees","E06000004","Urban city and town",134937,83273,51664,1614,6137,4001,2830,2078,1915,7043,14475,11571
"2011","Stockton-on-Tees","E06000004","Urban city and town in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Stockton-on-Tees","E06000004","Rural (total)",5717,3849,1868,46,212,159,88,83,84,317,604,275
"2011","Stockton-on-Tees","E06000004","Rural town and fringe",285,211,74,3,9,5,3,7,6,12,19,10
"2011","Stockton-on-Tees","E06000004","Rural town and fringe in a sparse setting",0,0,0,0,0,0,0,0,0,0,0,0
"2011","Stockton-on-Tees","E06000004","Rural village",4502,3010,1492,34,167,123,74,60,64,257,489,224
